name,Description
design thawing index,"the cumulative number of degree-days above 0 degrees Celsius, calculated by taking the average of the seasonal thawing indices for the three warmest summers in the most recent 30 years of record."
destructive metamorphism,snow metamorphism that rounds the comers and edges of an ice crystal.
detachment failure,a slope failure in which the thawed or thawing portion of the active layer detaches from the underlying frozen material.
dew point,"the temperature to which a given parcel of air must be cooled at constant pressure and constant water-vapor content in order for saturation to occur; when this temperature is below 0 degrees Celsius, it is called the frost point."
diamond dust,"a type of precipitation composed of slowly falling, very small, unbranched crystals of ice which often seem to float in the air; it may fall from a high cloud or from a cloudless sky, it usually occurs under frosty weather conditions (under very low air temperatures)."
dielectric constant,measure of the ability of the soil to store electrical energy in the presence of an electrostatic field.
dilation crack,a tensile fracture in a frozen material due to surface extension caused by doming.
dilation crack ice,ice that forms in dilation cracks.
dip pole,either of the two points on the earth's surface at which magnetic meridians converge; the horizontal component of the magnetic field of the earth becomes zero at this point; also called the magnetic pole.
dipole anomaly,"An Arctic atmospheric pressure pattern characterized by high pressure centered over the northern Beaufort Sea and unusually low pressure centered over the Kara Sea. This pattern contributes to ice loss in summer, causing winds to blow ice away from the coast."
dirt cone,a cone-shaped formation of ice that is covered by dirt; a dirt cone is caused by a differential pattern of ablation between the dirt covered surface and bare ice.
dirty ice,ice that contains sediments stirred up and tangled in the ice as it grows.
discontinuous permafrost,permafrost occurring in some areas beneath the exposed land surface throughout a geographic region where other areas are free of permafrost.
discontinuous permafrost zone,"the major subdivision of a permafrost region in which permafrost occurs in some areas beneath the exposed land surface, whereas other areas are free of permafrost."
disequilibrium permafrost,permafrost that is not in thermal equilibrium with the existing mean annual surface or sea-bottom temperature and the geothermal heat flux.
draft,the thickness of sea ice extending below the water level. Draft and freeboard comprise total sea ice thickness.
drain channel,preferred path for meltwater to flow from the surface through a snow cover.
drift glacier,a semipermanent mass of firn formed by drifted snow behind obstructions or in the ground; also called a catchment glacier or a snowdrift glacier.
drift ice,"ice that moves from winds, currents, or other forces."
drift of ice,displacement of a sea ice field from its place of origin under the effect of ocean currents and winds.
drifting buoy,floating (or drifting on ice) ocean buoy equipped with meteorological and/or oceanographic sensing instruments linked to transmitting equipment for sending the observed data to collecting centers.
drifting snow,snow raised from the surface of the earth by the wind to a height of less than 1.5 to 2.0 meters (5 to 6.6 feet) above the surface; it dose not restrict horizontal visibility at 2 meters (6.6 feet) or more above the surface.
drifting stations,research stations on the floes of the arctic ocean.
drizzle,"very small, uniformly distributed water drops that appear to float while following air currents; unlike fog droplets, drizzle falls to the ground."
drumlin,remnant elongated hills formed by historical glacial action; it is not clear exactly how they are formed and why they form only in some glaciated regions.
drunken forest,trees leaning in random directions caused by melting permafrost.
dry density,the mass of a unit volume of dried material (e.g. soil).
dry frozen ground,"frozen ground with a very low total water content consisting almost completely of interfacial water, and not cemented by ice."
dry permafrost,permafrost containing neither free water nor ice.
dump moraine,a mound or layer of moraine formed along the edge of a glacier by rock that falls off the ice; sometimes called a ground moraine.
dynamic modulus of elasticity,the ratio of stress to strain for a material under dynamic loading conditions.
dynamic Poisson's ratio,"the absolute value of the ratio between the linear strain changes, perpendicular to and in the direction of a given uniaxial stress change, respectively, under dynamic loading conditions."
earth hummock,a hummock having a core of silty and clayey mineral soil which may show evidence of cryoturbation.
earth radiation,"the total infrared radiation emitted from the earth's surface; to be carefully distinguished from effective terrestrial radiation, atmospheric radiation, and insolation."
edge wasting,process by which warm water erodes iceberg above the waterline
effective terrestrial radiation,the difference between the outgoing infrared (longwave) terrestrial radiation of the earth's surface and the downward infrared counter-radiation from the atmosphere.
electrical conductivity,the inverse of electrical resistivity.
electrical properties of frozen ground,"the dielectric constant (or relative permitivity), electrical conductivity and electrical resistivity are the major electrical properties governing the flow of electric current through frozen ground."
electricity resistivity,the property of a material that determines the electrical current flowing through a centimetre cube of the material when an electrical potential is applied to opposite faces of the cube.
electromagnetic wave,an oscillation of the electric or magnetic field associated with the propagation of energy; characterized by their wavelengths and amplitude; propagate at the speed of light.
emissivity,"the amount of electromagnetic energy (primarily at wavelengths longer than 1.0 micrometer) that an object emits; for example, the earth emits longwave radiation primarily in the infrared part of the electromagnetic spectrum, but also in longer microwave wavelengths; the emissivity of an object varies as the fourth power of its absolute temperature."
end moraine,an arch-shaped ridge of moraine found near the end of a glacier.
englacial moraine,dust and/or rock inside a glacier. This debris can become lodged in glacial ice after falling through crevasses.
epigenetic ice,"ground ice developed in epigenetic permafrost, or in previously formed syngenetic permafrost."
epigenetic ice wedge,"an ice wedge developed in epigenetic permafrost, or in previously formed syngenetic permafrost."
epigenetic permafrost,permafrost that formed through lowering of the permafrost base in previously deposited sediment or other earth material.
equator,"the line of latitude 0°, which is equidistant from the poles, and which separates the Northern Hemisphere from the Southern Hemisphere."
equi-temperature metamorphism,snow metamorphism that occurs under relatively consistent temperature conditions.
equilibrium line,boundary between the accumulation area and ablation area where the mass balance is zero.
equilibrium metamorphism,snow metamorphism that occurs when there are large differences in convex and concave portions of a crystal.
equilibrium permafrost,permafrost that is in thermal equilibrium with the existing mean annual surface or sea-bottom temperature and with the geothermal heat flux.
equilibrium zone,zone of a glacier in which the amount of precipitation that falls is equal to the amount that melts the following summer.
equinox,"either of the two points of intersection of the sun's apparent annual path and the plane of the earth's equator; in the northern hemisphere the spring (vernal) equinox falls on or about 21 March, and the autumnal equinox on or about 22 September."
error,the difference between a measured value of a quantity and its true value; different types of errors are inherent to observations.
esker,a sinuous ridge of sedimentary material (typically gravel or sand) deposited by streams that cut channels under or through the glacier ice.
evaporation,"the physical process by which a liquid or solid substance is transformed to the gaseous state; the opposite of condensation; in meteorology, evaporation usually is restricted in use to the change of water from liquid to gas, while sublimation is used to the change from solid to gas as well as from gas to solid."
evaporation fog,fog formed as a result of evaporation of water that is warmer than the air.
excess ice,the volume of ice in the ground which exceeds the total pore volume that the ground would have under natural unfrozen conditions.
extending flow,when glacier motion is accelerating down-slope.
extensive discontinuous permafrost,(1) (North American usage) permafrost underlying 65 - 90% of the area of exposed land surface (2) (Russian usage) permafrost underlying 70 - 80% of the area of exposed land surface.
fabric,soil micromorphology.
fall wind,a cold wind blowing down an incline; a kind of katabatic wind.
false ogives,bands of light and dark on a glacier that were formed by rock avalanching.
fast ice,"Ice that is anchored to the shore or ocean bottom, typically over shallow ocean shelves at continental margins; fast ice is defined by the fact that it does not move with the winds or currents. Also known as landfast ice."
field,"a region of space at each point of which a given physical or mathematical quantity has some definite value; for example, a gravitational field, magnetic field, or electric field; and, in meteorology, a pressure field, temperature field, etc; if the quantity specified at each point is a vector quantity, the field is said to be a vector field."
finger rafting,a process by which currents or winds push around thin ice so they slide over each other.
firn,"rounded, well-bonded snow that is older than one year; firn has a density greater than 550 kilograms per cubic-meter (35 pounds per cubic-foot); called névé during the first year."
firn limit,the minimum elevation of firn lying on a glacier surface; each year's firn line marks a glacier's annual equilibrium line; also called firn line.
firn line,the minimum elevation of firn lying on a glacier surface; each year's firn line marks a glacier's annual equilibrium line; also called firn limit.
firn water table,the height of meltwater within saturated firn that is trapped over ice in a glacier.
firnspiegel,"a thin sheet of ice formed on the glacier surface by rapid refreezing of solar-heated snow or firn, usually at high elevations during spring."
first-year ice,"floating ice of no more than one year's growth developing from young ice; thickness from 0.3 to 2 meters (1 to 6.6 feet); characteristically level where undisturbed by pressure, but where ridges occur, they are rough and sharply angular."
fjord,glacial troughs that fill with sea water.
flaw lead,a navigable passage between pack ice and fast ice.
floating ice,any form of ice found floating in water.
floe,"separate patch of floating ice or flat sheet of unbroken pack ice, greater than 20 meters (22 yards) across."
flooded sea ice,"ice that is pushed into the underlying ocean water by the weight of thick snow cover on its surface; the salty ocean water floods the snow cover and creates a salty, slushy layer; flooded sea ice is more common in the antarctic because of more snowfall and thinner sea ice than in the arctic."
flow finger,a small percolation channel that is a beginning path for surface meltwater through snow or firn.
flowline,a line following the spatial pattern of glacier movement from the top to the terminus. Englacial and supraglacial moraines make some glacier flowlines discernible from the surface.
fluted berg,an iceberg that is grooved into a curtain-like pattern; thought to be carved by small meltwater streams.
foehn,a warm wind blowing down an incline; a kind of katabatic wind.
fog,"a hydrometeor consisting of a visible aggregate of minute water droplets (or ice crystals), suspended in the atmosphere near the earth's surface; according to international definition, fog reduces visibility below one kilometer, fog differs from cloud only in that the base of fog is at the earth's surface while clouds are above the surface; when composed of ice crystals, it is termed ice fog."
foliation,"layering in glacier ice that has distinctive crystal sizes and/or bubbles; foliation is usually caused by stress and deformation that a glacier experiences as it flows over complex terrain, but can also originate as a sedimentary feature."
forbes bands,alternate bands of light and dark on a glacier; usually found below steep narrow icefalls and thought to be the result of different flow and ablation rates between summer and winter.
forel stripes,"shallow, parallel grooves on the face of a large melting ice crystal."
foundation pile,structure used when the soil near the ground surface is not strong and the weight of the building must be carried by deeper soil layers.
fragmic cryogenic fabric,"a distinct soil micromorphology, resulting from the effects of freezing and thawing processes, in which soil particles form discrete units that are densely packed."
fragmoidal cryogenic fabric,"a distinct soil micromorphology, resulting from the effects of freezing and thawing processes, in which soil particles form discrete units that are coalescing."
Fram Strait,"a sea channel connecting the Arctic Ocean and the Nordic Seas, running between Greenland and Spitsbergen. Fram Strait is the passageway where most drifting sea ice exits the Arctic."
frazil,"small needle-like ice crystals, typically 3 to 4 millimeters in diameter, suspended in water, that represent the first stages of sea ice growth; they merge under calm conditions to form thin sheets of ice on the surface, frazil crystals consist of nearly pure fresh water."
frazil ice,fine spicules or plates of ice in suspension in water.
free water,free water is that portion of the pore water that is free to move between interconnected pores under the influence of gravity.
freeboard,the thickness of sea ice protruding above the water level. Freeboard and draft comprise total sea ice thickness.
freeze-thaw cycle,freezing of a material followed by thawing.
freezeback,refreezing of thawed materials.
freezing (of ground),the changing of phase from water to ice in soil or rock.
freezing degree-days,"a measure of how cold it has been and how long it has been cold; the cumulative fdd is usually calculated as a sum of average daily degrees below freezing for a specified time period (10 days, month, season, etc.)."
freezing drizzle,"drizzle, the drops of which freeze on impact with the ground or with objects on the earth's surface or with aircraft in flight."
freezing front,the advancing boundary between frozen (or partially frozen) ground and unfrozen ground.
freezing index,the cumulative number of degree-days below 0 degrees Celsius for a given time period.
freezing point,(1) the temperature at which a pure liquid solidifies under atmospheric pressure (2) the temperature at which a ground material starts to freeze.
freezing pressure,the positive pressure developed at ice-water interfaces in soil as it freezes.
freezing rain,"rain, the drops of which freeze on impact with the ground or with objects on the earth's surface or with aircraft in flight."
freezing-point depression,the number of degrees by which the freezing point of an earth material is depressed below 0 degrees Celsius.
friable permafrost,permafrost in which the soil particles are not held together by ice.
friendly ice,"from the point of view of the submariner, an icey canopy containing many large ice skylights or other features which permit a submarine to surface; there must be more than ten such features per 37 kilometers (30 nautical miles) along the submarine's track."
front,"in meteorology, generally, the interface or transition zone between two air masses of different density; since the temperature distribution is the most important regulator of the atmosphere density, a front almost invariably separates air masses of different temperature; when warmer air replaces the colder, it is a warm front, and vice-versa."
frost,the condition which exists when the temperature near the earth's surface and earth-bound objects falls below freezing (0 degrees Celsius or 32 degrees Fahrenheit).
frost action,"the process of alternate freezing and thawing of moisture in soil, rock and other materials, and the resulting effects on materials and on structures placed on, or in, the ground."
frost blister,a seasonal frost mound produced through doming of seasonally frozen ground by a subsurface accumulation of water under elevated hydraulic potential during progressive freezing of the active layer.
frost boil,"a small mound of soil material, presumed to have been formed by frost action."
frost bulb,a more or less symmetrical zone of frozen ground formed around a buried chilled pipeline or beneath or around a structure maintained at temperatures below 0 degrees Celsius.
frost creep,"the net downslope displacement that occurs when a soil, during a freeze-thaw cycle, expands normal (perpendicular) to the ground surface and settles in a nearly vertical direction."
frost flowers,crystals of ice that form when water vapor becomes a solid (bypassing the liquid phase) and deposits itself on the sea ice surface; frost flowers roughen the surface and dramatically affect its electromagnetic signal.
frost heave,"the upward or outward movement of the ground surface (or objects on, or in, the ground) caused by the formation of ice in the soil."
frost heave extent,the difference between the elevations of the ground surface before and after the occurrence of frost heave.
frost jacking,"cumulative upward displacement of objects embedded in the ground, caused by frost action."
frost mound,any mound-shaped landform produced by ground freezing combined with accumulation of ground ice due to groundwater movement or the migration of soil moisture.
frost penetration,the movement of the freezing front into the ground during freezing.
frost phenomena,effects of frost action on earth materials and on structures placed in or on the ground.
frost point,the highest temperature at which atmospheric moisture will sublimate in the form of hoarfrost on a cooled surface; it is analogous to the dew point.
frost shattering,the mechanical disintegration of rock by the pressure of water freezing in pores and along grain boundaries.
frost smoke,"fog-like clouds, due to the contact of cold air with relatively warm water, which appear over newly-formed leads, or leeward of the ice edge, and which may persist while new ice is forming."
frost sorting,the differential movement of soil particles of different sizes as a result of frost action.
frost weathering,"the disintegration and break-up of soil or rock by the combined action of frost shattering, frost wedging and hydration shattering."
frost wedging,"the mechanical disintegration, splitting or break-up of rock by the pressure of water freezing in cracks, crevices, pores, joints or bedding planes."
frost-stable ground,ground (soil or rock) in which little or no segregated ice forms during seasonal freezing.
frost-stable soil,soil in which little or no segregated ice forms during seasonal freezing.
frost-susceptible ground,ground (soil or rock) in which segregated ice will form (causing frost heave) under the required conditions of moisture supply and temperature.
frost-susceptible soil,soil in which segregated ice will form (causing frost heave) under the required conditions of moisture supply and temperature.
frozen fringe,"the zone in a freezing, frost-susceptible soil between the warmest isotherm at which ice exists in pores and the isotherm at which the warmest ice lens is growing."
frozen ground,soil or rock in which part or all of the pore water has turned into ice.
fusion,"the phase transition of a substance passing from the solid to the liquid state, melting; in meteorology, fusion is understood to refer to the melting of ice, which, if the ice is pure and subjected to one standard atmosphere of pressure, takes place at the ice point of 0 degrees Celsius (32 degrees Fahrenheit)."
gas hydrate,"a special form of solid clathrate compound in which crystal lattice cages or chambers, consisting of host molecules, enclose guest molecules."
gauge,"in meteorology, general term for any device that measures strength of wind, pressure, and other parameters; the most widespread gauges on meteorology are balance snow gauge, barometer gauge, density-of-snow gauge, dew gauge, distance gauge, rain-and snow gauge, rain-intensity gauge, standard gauge, wind gauge, etc.."
gelifluction,the slow downslope flow of unfrozen earth materials on a frozen substrate.
general circulation,of the atmosphere; complete statistical description of atmospheric motions over the earth.
general circulation model,"numerical representation of the atmosphere and its phenomena over the entire earth, using the equations of motion and including radiation, photochemistry, and the transfer of heat, water vapor, and momentum."
geocryology,the study of earth materials having a temperature below 0 degrees Celsius.
geomagnetic pole,"the point of intersection of the Earth's surface with the axis of a simple magnetic dipole that best approximates the Earth's actual, more complex magnetic field; if the Earth's magnetic field were a perfect dipole then the field lines would be vertical at the geomagnetic poles, and they would therefore coincide with the magnetic poles: however, the dipole approximation is in fact far from perfect, so in reality the magnetic and geomagnetic poles lie some distance apart."
geostrophic wind,theoretical wind which results from the equilibrium between horizontal components of the pressure gradient force and the coriolis force (deviating force) above the friction layer; only these two forces (no frictional force) are supposed to act on the moving air; it blows parallel to straight isobars or contours.
geothermal gradient,the rate of temperature increase with depth in the subsurface.
geothermal heat flux,the amount of heat moving steadily outward from the interior of the earth through a unit area in unit time.
geyser,fountain that develops when water from a conduit is forced up to the surface of a glacier; also called a negative mill.
glacial advance,when a mountain glacier's terminus extends farther downvalley than before; occurs when a glacier flows downvalley faster than the rate of ablation at its terminus.
glacial erratic,"a boulder swept from its place of origin by glacier advance or retreat and deposited elsewhere as the glacier melted; after glacial melt, the boulder might be stranded in a field or forest where no other rocks of its type or size exist."
glacial grooves,grooves or gouges cut into the bedrock by gravel and rocks carried by glacial ice and meltwater; also called glacial striations.
glacial retreat,when the position of a mountain glacier's terminus is farther upvalley than before; occurs when a glacier ablates more material at its terminus than it transports into that region.
glacial striations,grooves or gouges cut into the bedrock by gravel and rocks carried by glacial ice and meltwater; also called glacial grooves.
glacial till,"accumulations of unsorted, unstratified mixtures of clay, silt, sand, gravel, and boulders; the usual composition of a moraine."
glacial trough,a large u-shaped valley formed from a v-shaped valley by glacial erosion.
glaciated,land covered in the past by any form of glacier is said to be glaciated.
glacier,"a mass of ice that originates on land, usually having an area larger than one tenth of a square kilometer; many believe that a glacier must show some type of movement; others believe that a glacier can show evidence of past or present movement."
glacier cave,"a cave of ice, usually underneath a glacier and formed by meltwater; cave entrances are often enlarged near a glacier terminus by warm winds; most common on stagnant portions of glaciers."
glacier fire,a phenomenon in which strong reflection of the sun on an icy surface causes a glacier to look like it is on fire.
glacier flood,a sudden outburst of water released by a glacier.
glacier flour,a fine powder of silt- and clay-sized particles that a glacier creates as its rock-laden ice scrapes over bedrock; usually flushed out in meltwater streams and causes water to look powdery gray; lakes and oceans that fill with glacier flour may develop a banded appearance; also called rock flour.
glacier ice,well-bonded ice crystals compacted from snow with a bulk density greater than 860 kilograms per cubic-meter (55 pounds per cubic-foot).
glacier mill,a nearly vertical channel in ice that is formed by flowing water; usually found after a relatively flat section of glacier in a region of transverse crevasses.
glacier pothole,"potholes formed at the bottom of glaciers through erosion caused by sand and gravel in melt-water; melt-water seeps through crevasses in the glaciers, sometimes forming whirpools; at the bottom of the glacier, the water is under very high pressure, leading to erosion of underlying rocks."
glacier remainie,"a glacier that is reconstructed or reconstituted out of other glacier material; usually formed by seracs falling from a hanging glacier, then re-adhering; also called reconstituted, reconstructed or regenerated glacier."
glacier snout,the lowest end of a glacier; also called glacier terminus or toe.
glacier sole,the bottom of the ice of a glacier.
glacier table,a rock that resides on a pedestal of ice; formed by differential ablation between the rock-covered ice and surrounding bare ice.
glacier terminus,the lowest end of a glacier; also called glacier snout or toe.
glacier toe,the lowest end of a glacier; also called glacier snout or terminus.
glacier tongue,"an extension of a glacier or ice stream projecting seaward, usually afloat."
glacier trough,u-shaped valleys transformed from v-shaped stream valleys due to erosion caused by passing glaciers.
glacier wind,"a localized current of air occuring as a result of a glacier's melting processes; when the surface of glacial ice melts, the air above the glacier cools and becomes heavier than the surrounding air and flows down the glacial valley; glacier wind can also be wind that flows out of ice caves; a kind of katabatic wind."
glacieret,a very small glacier.
glacierized,land overlaid at present by a glacier is said to be covered; the alternative term glacierized has not found general favour.
glaze,"a coating of ice, generally clear and smooth but usually containing some air pockets, formed on exposed objects by freezing of a film of super-cooled water deposited by rain, drizzle, fog, or possibly condensed from super-cooled water vapor; glaze is denser, harder and more transparent, than either rime or hoarfrost."
global observing system,"global network of observational stations which is the coordinated system of methods, techniques and facilities for making observations on a world-wide scale in the framework of the World Weather Watch, a World Meteorological Organization program."
global telecommunication system,"the coordinated global system of telecommunication facilities and arrangements for the rapid collection, exchange and distribution of observational data in the framework of the World Weather Watch, a World Meteorological Organization program."
gradient wind,"the same as geostrophic wind, but blowing parallel to curved isobars or contours; the curved airflow pattern around a pressure center results from a balance among pressure-gradient force, coriolis force, and centrifugal force."
granic cryogenic fabric,"a distinct soil micromorphology, resulting from the effects of freezing and thawing processes, in which soil particles form discrete loosely packed units."
granoidic cryogenic fabric,"a distinct soil micromorphology, resulting from the effects of freezing and thawing processes, in which soil particles form more or less discrete loosely packed units."
graupel,snowflakes that become rounded pellets due to riming; typical sizes are 2  to 5 millimeters in diameter (0.1 to 0.2 inch); graupel is sometimes mistaken for hail.
gravimetric (total) water content,"the ratio of the mass of the water and ice in a sample to the dry mass of the sample, commonly expressed as a percentage."
gravity wave,a wave disturbance in which buoyancy (or reduced gravity) acts as a restoring force on parcels displaced from hydrostatic equilibrium; there is a direct oscillatory conversion between potential and kinetic energy in the wave motion.
gravity wind,a cold wind blowing down an incline; a kind of katabatic wind.
grease ice,"a very thin, soupy layer of frazil crystals clumped together, which makes the ocean surface resemble an oil slick."
Greenland high,the anticyclone that appears to overlie Greenland; analogous to the antarctic anticyclone.
grey-white ice,"a category of young ice 15 to 30 centimeters (6 to 12 inches) thick, named for its color."
grid,"a finite collection of points to which the meteorological variables used in a numerical model, or interpolated from observations, apply; a field of such regular values (points) is termed gridded field."
ground ice,a general term referring to all types of ice contained in freezing and frozen ground.
ground moraine,continuous layer of till near the edge or underneath a steadily retreating glacier.
growler,an iceberg less than 2 meters (6.6 feet) across that floats with less than 1 meter (3.3 feet) showing above water; smaller than a bergy bit.
hail,"precipitation of small balls or pieces of ice (hailstones) with a diameter ranging from 5 to 50 millimeters (0.2 to 2.0 inches), or sometimes bigger, falling either separately or agglomerated into irregular lumps; when the diameter is less than about 5 millimeters (0.2 inch), the balls are called ice pellets."
halo,"group of optical phenomena, in the form of rings, arcs, pillars or bright spots around the sun or moon, produced by the refraction or reflection of light by ice crystals suspended in the atmosphere (cirrus clouds, diamond dust, etc.)."
hanging glacier,a glacier that terminates at or near the top of a cliff.
hanging valley,a valley formed by a small glacier that has a valley bottom relatively higher than nearby valleys formed by larger glaciers.
hard frozen ground,frozen ground (soil or rock) which is firmly cemented by ice.
haze,"fine dust or salt particles dispersed through a portion of the atmosphere; the particles are so small that they cannot be felt or individually seen with the naked eye, but they diminish horizontal visibility and give the atmosphere a characteristic opalescent appearance that subdues all colors; a type of lithometeor."
headwall,"a steep cliff, usually the uppermost part of a cirque."
heat balance,equilibrium between the gain and loss of heat at a specific place or for a specific system.
heat balance of the earth-atmosphere system,the equilibrium that exists between the radiation received by the earth and atmosphere from the sun and that emitted by the earth and atmosphere.
heat budget,"relation between fluxes of heat into and out of a given region or body and the heat stored by the system; in general, this budget includes advective, evaporative, and other terms as well as a radiation term."
heat capacity,the amount of heat required to raise the temperature of a unit mass of a substance by one degree.
heat flux,the amount of heat transferred across a surface of unit area in a unit time.
heat sink,"process, or region, in which energy is removed from the atmosphere in the form of heat."
heat source,"process, or region, in which energy is added to the atmosphere in the form of heat."
heaving pressure,upward pressure developed during freezing of the ground.
high,area of high pressure in the atmosphere; used interchangeably with anticyclone.
high-center polygon,an ice-wedge polygon in which melting of the surrounding ice wedges has left the central area in a relatively elevated position.
high-level clouds,"typically thin, white clouds above 6,000 meters (20,000 feet); at these altitudes, temperatures are so cold that clouds are composed primarily of ice crystals; includes cirrus, cirrocumulus and cirrostratus clouds."
hoarfrost,"a deposit of interlocking ice crystals (hoar crystals) formed by direct sublimation on objects, usually those of small diameter freely exposed to the air, such as tree branches, plant stems and leaf edges, wires, poles, etc.; the surfaces of these objects are sufficiently cooled, mostly by nocturnal radiation, to cause the direct sublimation of the water vapor contained in the ambient air."
horn,a peak or pinnacle thinned and eroded by three or more glacial cirques.
hostile ice,"from the point of view of the submariner, an ice canopy containing no large ice skylights or other features which permit a submarine to surface."
humidity,"(1) water vapor content of the air. (2) some measure of the water-content of air; see also absolute humidity, relative humidity, specific humidity, dew point."
hummock,"(1) [sea ice] a smooth hill of ice that forms on the sea ice surface from eroding ridges, particularly during the summer melt; the formation of hummocks is similar to young mountain peaks with steep slopes that erode into smooth, rolling hills. (2) [frozen ground] Small lumps of soil pushed up by frost action, often found in uniformly spaced in large groups.  Hummocks can form in areas of permafrost or seasonally frozen ground, and are one of the most common surface features of the Arctic."
hummocking,[sea ice] pressure process by which floating ice becomes broken up into hummocks.
hydration shattering,"a form of weathering that affects all rocks; water freezes in pores and cracks, which leads to an increase in specific volume (vol/unit mass) of the water, producing stress that is greater than the tensile strength of all common rocks; ultimately leads to shattering and fracturing of the rocks."
hydraulic conductivity,the volume of fluid passing through a unit cross section in unit time under the action of a unit hydraulic potential gradient.
hydraulic diffusivity,the ratio of the hydraulic conductivity and the storage capacity of a groundwater aquifer.
hydraulic thawing,artificial thawing (and removal) of frozen ground by the use of a stream or jet of water under high pressure.
hydrochemical talik,"a layer or body of cryotic (but unfrozen) ground in a permafrost area, maintained by moving mineralized groundwater."
Hydrologic Unit Code (HUC),"hierarchical designation consisting of two additional digits for each level of specificity; established by the US Geological Survey to delineate portions of the United States based on surface features related to the distribution and movement of water. The HUC system divides the United States into 21 two-digit regions, 222 four-digit subregions, 370 six-digit basins, and smaller regions designated by additional digits."
hydrometeor,"any product of condensation or sublimation of atmospheric vapor, whether formed in free atmosphere or at the earth's surface; also any water particles blown by the wind from the earth's surface."
hydrothermal talik,"a layer or body of noncryotic unfrozen ground in a permafrost area, maintained by moving groundwater."
hygrometer,"an instrument which measures the water vapor content in the atmosphere; there are several different means of transduction used in measuring this quantity and hence various types of hygrometers; these are: a) the psychrometer, which utilizes the thermodynamic method; b) the class of instruments which depends upon a change of physical dimension due to absorption of moisture (hair hygrometer, for example); c) those which depend upon condensation of moisture (dew point hygrometer); d) the class of instruments which depend upon the change of chemical or electrical properties due to absorption of moisture, and some others."
ice,the solid crystalline form of water.
ice apron,a mass of ice adhering to a mountainside.
ice area,"the region covered by sea ice, typically given in square kilometers. For a grid cell, it is the area of the portion of the cell covered by ice. For an entire hemisphere, it is the total area covered by ice, which corresponds to sum of the area of each cell multiplied by the fractional concentration for that cell."
ice blink,white glare on the underside of low clouds indicating presence of ice which may be beyond the range of vision.
ice cake,a floe smaller than 20 meters (66 feet) across.
ice canopy,pack ice from the point of view of the submariner.
ice cap,"a dome-shaped mass of glacier ice that spreads out in all directions; an ice cap is usually larger than an icefield but less than 50,000 square-kilometers (12 million acres)."
ice cave,a natural bedrock cave that contains year-round ice.
ice cluster,"a concentration of sea ice, covering 100's of square kilometers, which is found in the same region every summer."
ice concentration,"the fraction of an area that is covered by sea ice. Ice concentration typically is reported as a percentage (0 to 100 percent ice), a fraction from 0 to 1, or sometimes in tenths (0/10 to 10/10)."
ice content,the amount of ice contained in frozen or partially frozen soil or rock.
ice core,"a core sample drilled from the accumulation of snow and ice over many years that have recrystallized and have trapped air bubbles from previous time periods, the composition of which can be used to reconstruct past climates and climate change; typically removed from an ice sheet (Antarctica and Greenland) or from high mountain glaciers elsewhere."
ice covered,land overlaid at present by a glacier is said to be covered; the alternative term glacierized has not found general favour.
ice divide,the boundary separating opposing flow directions of ice on a glacier or ice sheet.
ice edge,"the boundary at any given time between open water and sea, river or lake ice of any kind, whether drifting or fast; may be termed compacted when it is clear-cut, or open when it forms the indefinite edge of an area of dispersed ice."
ice extent,"the total area covered by some amount of ice, including open water between ice floes; ice extent is typically reported in square kilometers. Extent defines a region as either ""ice-covered"" or ""not ice-covered."" A threshold determines this labeling. A typical threshold is 15 percent, meaning that if the data cell has greater than 15 percent ice concentration, the cell is labeled as ""ice-covered."" Sea Ice Index products have a threshold of 15 percent. A threshold can also be as high as 30 percent."
ice floe,"a cohesive sheet of ice floating in the water; the sea ice cover is made up of conglomerates of floes; ice floes are not unique to sea ice, as they also occur in rivers and lakes."
ice fog,"a suspension of numerous minute ice crystals in the air, reducing visibility at the earth's surface; the crystals often glitter in the sunshine; ice fog produces optical phenomena such as luminous pillars and small haloes."
ice fringe,"a very narrow ice piedmont, extending less than about 1 km inland from the sea."
ice front,"the vertical cliff forming the seaward face of an ice shelf or other floating glacier, varying in height from 2 to 50 meters (2.2 to 55 yards) above sea level."
Ice gland,A column of ice in the granular snow at the top of a glacier.
ice island,"a form of tabular berg found in the Arctic Ocean, with a thickness of 30 - 50 meters (33 to 55 yards) and an area from a few thousand square meters to 500 square kilometers (123,550 acres); ice islands often have an undulating surface, which gives them a ribbed appearance from the air."
ice jam,an accumulation of broken river or sea ice caught in a narrow channel.
ice keel,"from the point of view of the submariner, a downward-projecting ridge on the underside of the ice canopy; the counterpart of a ridge; ice keels may extend as much as 50 meters (55 yards) below sea level."
ice lens,"a dominantly horizontal, lens-shaped body of ice of any dimension."
ice limit,the average position of the ice edge in any given month or period based on observations over a number of years.
ice patrol ship,a research ship which performs ice surveys in polar regions.
ice pellet,"precipitation of small balls or pieces of ice (hailstones) with a diameter ranging from 5 to 50 millimeters (0.2 to 2.0 inches), or sometimes more, falling either separately or agglomerated into irregular lumps; when the diameter is less that about 5 millimeters (0.2 inch), the balls are called ice pellets."
ice piedmont,"ice covering a costal strip of low-lying land backed by mountains; the surface of an ice piedmont slopes gently seawards and may be anything from 1 to 50 kilometers (0.6 to 31 miles) wide, fringing long stretches of coastline with ice cliffs; ice piedmonts frequently merge into ice shelves; a very narrow ice piedmont may be called an ice fringe."
